Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2006,Joe McEwing,HOU,AAA,33,460,0.05,0.141304347,0.353846153,0.315165876,0.350993377,0.440758293,0.79175167,0.125592417,4.950397836567030,0.349431818,0.15825893922010400,62.92598615027790,4.871591428292990,0.35187115751009100,107.17003347258400,887
2007,Joe McEwing,BOS,AAA,34,520,0.053846153,0.2,0.269230769,0.268343815,0.31640625,0.375262054,0.691668304,0.106918239,3.186984838346070,0.327868852,-2.5915749026462400,53.660726064419700,-6.527081018710200,0.31362474385429800,88.50852998751590,887
2010,Jay Payton,COL,AAA,37,470,0.053191489,0.1,0.531914893,0.323462414,0.364605543,0.469248291,0.833853834,0.145785877,5.925551213689930,0.351421188,1.1706204185757100,72.27367314429930,9.02453231545146,0.36732437595343000,100.84101231373600,890
2007,Timo Perez,DET,AAA,32,540,0.064814814,0.087037037,0.744680851,0.308793456,0.356472795,0.472392638,0.828865433,0.163599182,4.60365146850945,0.31797235,0.02340023871511220,78.6442170527429,16.14149431256960,0.36747880277201,127.81936889716300,891
2008,Timo Perez,DET,AAA,33,488,0.098360655,0.088114754,1.116279069,0.302107728,0.373966942,0.473067915,0.847034857,0.170960187,4.810599407344220,0.308510638,0.9197135018184780,75.66084043168900,17.560842792032900,0.37296325067679100,132.23200915554400,891
2011,Timo Perez,DET,AAA,36,517,0.056092843,0.079303675,0.707317073,0.304439746,0.344488188,0.410147991,0.754636179,0.105708245,3.9306048714347700,0.320930232,2.057945614680650,63.74794785072640,4.208300167225110,0.33775363612692300,108.24574883557700,891
2009,Timo Perez,MEX,AAA,34,336,0.107142857,0.056547619,1.894736842,0.322916666,0.406060606,0.475694444,0.88175505,0.152777778,5.560271844885510,0.32442748,1.8112268075346900,55.15402996717770,8.944330813277510,0.399082955590055,130.34355040712400,891
2006,Scott McClain,OAK,AAA,34,605,0.079338842,0.193388429,0.41025641,0.252285191,0.312913907,0.466179159,0.779093066,0.213893968,3.4253736068195300,0.269607843,-0.3171322839043570,77.05329835081510,0.6991487708132980,0.3405444784148610,105.99181588424100,8951
2007,Scott McClain,SFG,AAA,35,533,0.110694183,0.183864915,0.602040816,0.267094017,0.348968105,0.517094017,0.866062122,0.25,1.4719253212728000,0.274052478,-0.6677930855657910,83.32812074225170,12.540043089797400,0.3713384046590420,116.17882016972100,8951
2008,Scott McClain,SFG,AAA,36,556,0.131294964,0.174460431,0.752577319,0.301052631,0.39099099,0.555789473,0.946780463,0.254736842,3.459263997710180,0.32112676,0.22246876743156500,102.23005126395500,26.81622712292990,0.40044999046621000,133.45049264009700,8951
